Feature,Importance_score_xgb
neighbourhood_cleansed_Brent,0.00040539372
amenities_patio or balcony,0.00040498513
amenities_radiant heating,0.00040385305
is_key_reviewer,0.00040340165
amenities_smeg stainless steel oven,0.00040050838
bathroom_sharing_unknown,0.00039806386
amenities_dryer,0.00039788103
"amenities_coffee maker: espresso machine, nespresso",0.00039584053
amenities_private bbq grill: charcoal,0.0003940673
host_acceptance_rate_missing,0.00039332765
neighbourhood_cleansed_Lambeth,0.00039134957
maximum_maximum_nights,0.00039116733
amenities_pack ’n play/travel crib - always at the listing,0.00038797673
amenities_shared backyard – not fully fenced,0.0003867832
amenities_baby safety gates,0.0003861212
neighbourhood_cleansed_Richmond upon Thames,0.00038594456
amenities_baby monitor,0.0003842333
amenities_smoke alarm,0.0003825702
amenities_standalone high chair - available upon request,0.00038196266
property_type_Private room in condo,0.0003819134
amenities_paid parking on premises – 1 space,0.00038102575
amenities_sonos bluetooth sound system,0.00038032382
amenities_lake access,0.00037631328
amenities_neff stainless steel oven,0.00037491045
beds,0.0003747863
amenities_standalone high chair - always at the listing,0.00037445285
amenities_shared hot tub,0.00037083225
amenities_bosch stainless steel oven,0.00036964525
neighbourhood_cleansed_Harrow,0.00036622223
reviews_per_month,0.00036613512
amenities_tv with netflix,0.00036532857
property_type_Entire townhouse,0.00036293763
amenities_free washer,0.00036235095
amenities_electric stove,0.00035924066
amenities_clothing storage: wardrobe and closet,0.0003578826
neighbourhood_cleansed_Merton,0.00035639535
host_location_missing,0.0003556596
amenities_private gym in building,0.0003552348
amenities_fast wifi – 74 mbps,0.00034926564
property_type_Entire home,0.0003484025
amenities_shampoo,0.00034564402
amenities_children’s books and toys for ages 2-5 years old,0.0003436298
amenities_resort access,0.00034003996
host_about_missing,0.00033931775
amenities_coffee maker: pour-over coffee,0.0003373646
amenities_dishes and silverware,0.00033629936
amenities_private backyard,0.0003344897
property_type_Shared room in casa particular,0.00033416733
amenities_shared backyard – fully fenced,0.00033361468
property_type_Private room in loft,0.00033299022
"amenities_clothing storage: dresser, wardrobe, and closet",0.00033274395
amenities_free parking on premises,0.00033150965
amenities_clothing storage: wardrobe,0.00033127386
amenities_paid parking garage off premises,0.00033080662
amenities_pets allowed,0.00033062074
property_type_Entire villa,0.00032988793
amenities_luggage dropoff allowed,0.00032987844
amenities_iron,0.0003294056
amenities_coffee maker: french press,0.00032937364
number_of_reviews,0.00032831077
amenities_ev charger,0.00032449275
amenities_body soap,0.00032436874
amenities_kitchen,0.00032331533
property_type_Private room in townhouse,0.00032300936
amenities_long term stays allowed,0.00032027654
amenities_refrigerator,0.00031961652
amenities_children’s books and toys for ages 2-5 years old and 5-10 years old,0.00031924978
maximum_nights_avg_ntm,0.00031908302
amenities_coffee maker,0.00031889233
amenities_baking sheet,0.00031870534
amenities_piano,0.00031788767
review_scores_communication,0.00031746956
amenities_backyard,0.00031700317
property_type_Entire bungalow,0.00031617182
amenities_outdoor kitchen,0.0003138513
amenities_outdoor furniture,0.00031365582
amenities_lockbox,0.00031077804
comments_length,0.00030909906
neighbourhood_cleansed_Haringey,0.00030862985
minimum_maximum_nights,0.00030797493
bathrooms_missing,0.00030742423
"amenities_clothing storage: dresser, closet, and wardrobe",0.0003073937
amenities_dining table,0.00030537974
TextBlob_sentiment_score,0.00030390767
amenities_cleaning products,0.00030385415
amenities_books and reading material,0.00030381768
neighbourhood_cleansed_Tower Hamlets,0.00030333103
amenities_crib - always at the listing,0.00030331122
amenities_stainless steel induction stove,0.0003030137
amenities_free washer – in building,0.0003028239
amenities_bidet,0.00030016183
amenities_game console,0.0002994442
amenities_portable air conditioning,0.0002992285
amenities_hdtv with netflix,0.0002991826
amenities_coffee maker: nespresso,0.0002991384
amenities_crib - available upon request,0.0002984609
amenities_shared gym nearby,0.00029706818
description_length,0.00029580566
amenities_record player,0.0002949525
amenities_smart lock,0.00029343707
neighborhood_overview_missing,0.00029271437
amenities_paid parking off premises,0.00029259454
host_response_time_within a day,0.0002922754
amenities_hot tub,0.00029153764
amenities_paid street parking off premises,0.00029116648
property_type_Entire condo,0.0002906262
neighbourhood_cleansed_Southwark,0.00028988955
amenities_laundromat nearby,0.00028971586
neighbourhood_cleansed_City of London,0.00028959813
amenities_paid parking lot on premises – 1 space,0.00028880915
"amenities_children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old",0.00028767795
